Event Date,Start Time,End Time,Event Name,Event Description,Event Location,Admission
01/03/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
01/04/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
01/05/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
01/07/2023,9:00 A.M.,12:00 P.M.,Learn to Skate Clinic,Sin datos,Empire State Plaza Ice Rink,FREE
01/10/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
01/11/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
01/11/2023,10:00 A.M.,2:00 P.M.,Dr. King Volunteer Fair,The fair is a great opportunity to get actively involved in civic and community organizations.,Empire State Plaza South Concourse,FREE
01/12/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
01/13/2023,6:00 P.M.,9:00 P.M.,"""Paths to Change"" Red Carpet Premiere","Join us this Friday at the Empire State Plaza Convention Center for the first-ever early screening of the 2023 NYS Dr. Martin Luther King, Jr. Memorial Observance special, New York's one-hour tribute to Dr. King, before the scheduled broadcast on #MLKDAY on select @PBS stations across New York!",Empire State Plaza Convention Center,FREE
01/17/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
01/18/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
01/19/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
01/24/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
01/25/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
01/26/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
01/31/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
02/01/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
02/01/2023,10:00 A.M.,2:00 P.M.,Lunar New Year Celebration,"Welcome to the Year of the Rabbit! This year's Lunar New Year Celebration features fresh and frozen foods, a lion dance, Techno Prince dance, giveaways, activities, and more with the Chinese Community Center, the Korean Association of Albany, and the Taiwanese American Association.",Empire State Plaza Concourse,FREE
02/02/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
